#Photon    Incoher. Photoel. Tot. w/  
#Energy    Scatter. Absorb.  Coherent 
8.000E-01 6.814E-02 4.252E-05 6.841E-02 
1.000E+00 6.129E-02 2.643E-05 6.146E-02 
1.022E+00 6.064E-02 2.489E-05 6.080E-02 
1.250E+00 5.482E-02 1.688E-05 5.496E-02 
1.500E+00 4.982E-02 1.222E-05 5.006E-02 
2.000E+00 4.252E-02 7.633E-06 4.324E-02 
2.044E+00 4.201E-02 7.381E-06 4.277E-02 
3.000E+00 3.346E-02 4.223E-06 3.541E-02 
4.000E+00 2.790E-02 2.881E-06 3.106E-02 
5.000E+00 2.411E-02 2.175E-06 2.836E-02 
6.000E+00 2.130E-02 1.744E-06 2.655E-02 
7.000E+00 1.915E-02 1.453E-06 2.529E-02 
