Photon    Incoher. Photoel. Tot. w/  
Energy    Scatter. Absorb.  Coherent 

5.000E-01 7.913E-02 2.699E-03 8.395E-02 
6.000E-01 7.333E-02 1.703E-03 7.651E-02 
8.000E-01 6.454E-02 8.689E-04 6.624E-02 
1.000E+00 5.808E-02 5.407E-04 5.916E-02 
1.022E+00 5.746E-02 5.136E-04 5.849E-02 
1.250E+00 5.197E-02 3.472E-04 5.274E-02 
1.500E+00 4.725E-02 2.501E-04 4.815E-02 
2.000E+00 4.033E-02 1.539E-04 4.216E-02 
2.044E+00 3.984E-02 1.486E-04 4.177E-02 
3.000E+00 3.174E-02 8.321E-05 3.612E-02 
4.000E+00 2.648E-02 5.591E-05 3.334E-02 
5.000E+00 2.287E-02 4.177E-05 3.195E-02 
6.000E+00 2.021E-02 3.322E-05 3.127E-02 
7.000E+00 1.817E-02 2.752E-05 3.101E-02 
8.000E+00 1.654E-02 2.347E-05 3.098E-02 
9.000E+00 1.520E-02 2.044E-05 3.109E-02 
1.000E+01 1.408E-02 1.810E-05 3.130E-02 
1.100E+01 1.314E-02 1.623E-05 3.154E-02 
