#Photon    Incoher. Photoel. Tot. w/  
#Energy    Scatter. Absorb.  Coherent 
8.000E-01 5.537E-02 2.871E-02 8.870E-02 
1.000E+00 4.993E-02 1.810E-02 7.102E-02 
1.022E+00 4.944E-02 1.732E-02 6.962E-02 
1.250E+00 4.476E-02 1.168E-02 5.875E-02 
1.500E+00 4.075E-02 8.321E-03 5.222E-02 
2.000E+00 3.482E-02 5.034E-03 4.607E-02 
2.044E+00 3.441E-02 4.854E-03 4.577E-02 
3.000E+00 2.744E-02 2.631E-03 4.234E-02 
4.000E+00 2.290E-02 1.723E-03 4.198E-02 
5.000E+00 1.978E-02 1.263E-03 4.272E-02 
6.000E+00 1.749E-02 9.894E-04 4.391E-02 
7.000E+00 1.572E-02 8.103E-04 4.528E-02 
