Photon    Incoher. Photoel. Tot. w/  
Energy    Scatter. Absorb.  Coherent 

5.000E-01 9.277E-02 1.404E-05 9.298E-02 
6.000E-01 8.582E-02 8.739E-06 8.597E-02 
8.000E-01 7.542E-02 4.410E-06 7.550E-02 
1.000E+00 6.783E-02 2.742E-06 6.788E-02 
1.022E+00 6.712E-02 2.550E-06 6.717E-02 
1.250E+00 6.065E-02 1.731E-06 6.070E-02 
1.500E+00 5.513E-02 1.256E-06 5.524E-02 
2.000E+00 4.705E-02 7.907E-07 4.742E-02 
2.044E+00 4.646E-02 7.648E-07 4.686E-02 
3.000E+00 3.701E-02 4.421E-07 3.806E-02 
4.000E+00 3.087E-02 3.036E-07 3.261E-02 
5.000E+00 2.666E-02 2.303E-07 2.902E-02 
6.000E+00 2.356E-02 1.852E-07 2.650E-02 
7.000E+00 2.118E-02 1.547E-07 2.463E-02 
8.000E+00 1.927E-02 1.328E-07 2.319E-02 
9.000E+00 1.772E-02 1.163E-07 2.207E-02 
1.000E+01 1.642E-02 1.034E-07 2.115E-02 
1.100E+01 1.531E-02 9.307E-08 2.041E-02 
